id,year,assets,debt,earnings,cashflow,sales,mv,ad,rd,threat,fv,rec1,rec2,mkt,sector
2626,2002,97.31699999999999,.253,-2.093,4.591,73.986,88.034019,.583,14.206,6.4994001,.69450366,0,0,29.937,6
1488,2002,1871.4,921.8,298,159.3,3238.4,1643.5411,37.5,0,1.0003,1.2713696,0,0,574.70001,3
2457,2002,12.692,0,-3.935,-2.239,14.477,3.4193599,.31200001,2.8150001,4.6932001,-.10121652,0,0,10.397,6
2457,2003,10.492,0,-1.009,-1.447,13.747,12.95,.079000004,2.187,6.1718998,.92584825,0,0,7.6129999,6
3005,2003,62.662,7.005,-3.652,-4.667,6.52,177.60336,.25,2.3840001,2.1512001,2.9126642,0,0,5.2639999,5
2540,2003,309.286,6.088,21.218,3.301,1312.891,205.46049,22.764,0,3.0209999,.37074262,0,0,102.06,4
1488,2003,2859.4,1386.1,341.8,218,3564.4,2604.4482,39.900002,11.8,1,1.2688845,0,0,629.20001,3
1716,2002,180.592,2.11,31.834,31.006,375.878,124.94439,18.6,0,1.6849,.23434255,0,0,102.258,4
2626,2003,73.36199999999999,0,-2.488,.571,71.265,127.84761,.49700001,12.195,4.5847001,1.5032798,0,0,27.675001,6
1227,2004,757.51,0,257.106,184.677,1500.58,2142.1233,42.400002,22.243,1.5700999,2.2696311,0,0,440.569,1
2626,2004,90.06699999999999,0,4.835,1.783,82.13200000000001,187.15359,1.0549999,11.054,1.0114,1.886258,0,0,30.995001,6
2457,2004,13.1,0,1.71,.873,14.79,32.887539,.064000003,1.937,3.9407001,1.9866824,0,0,6.4530001,6
1284,2004,171.318,29.5,14.649,5.974,129.851,337.80295,.55900002,6.46,1.1593,1.9046799,0,0,29.902,2
1716,2003,220.327,1.941,42.8,37.823,434.173,317.58719,24.5,0,1.9661,1.0076305,0,0,118.753,4
2540,2004,286.542,6.556,26.452,13.318,1353.834,238.952,22.493999,0,2.8468001,.49511415,0,0,110.235,4
3005,2004,65.136,2.175,1.072,-1.95,23.308,162.44875,.62,4.8330002,2.2971001,2.4192727,0,0,11.589,5
1488,2004,8090.2,2309.2,601.2,392.8,4662.7,7402.8843,72.199997,36.700001,1,1.1110708,0,0,880.40002,3
1488,2005,8430.299999999999,2135.5,919.3,612,5579.4,7633.6479,92.099998,44.200001,1.0056,1.0430171,0,0,1071,3
2540,2005,337.705,5.695,18.812,9.629,1444.297,135.89342,23.207001,0,2.6703999,.12050582,0,0,128.774,4
1716,2004,266.48,8.76,50.719,40.373,498.911,305.47501,30.299999,0,1.6835001,.73748875,0,0,133.953,4
1227,2005,788.654,0,273.88,182.282,1565.681,2103.6089,36.589001,24.113001,1.4306999,2.1953213,0,0,466.57001,1
2626,2005,110.441,0,11.529,13.217,96.505,281.24139,.963,9.4329996,1.0603,2.2970581,0,0,36.16,6
3005,2005,61.528,.634,-3.123,-1.297,19.77,43.129711,.79000002,4.7849998,1.7621,.68932372,0,0,14.313,5
1284,2005,181.487,22.57,21.303,11.73,274.14,319.70865,.60000002,7.335,1.2939,1.6578964,0,0,63.707001,2
2457,2005,12.669,0,-.344,-.016,14.296,27.878771,.19599999,2.2390001,3.1961999,1.6752522,0,0,7.7319999,6
1412,2005,169.288,0,10.766,1.179,261.059,2.9998901,1.4,0,5.8933001,.9443959,0,0,47.001999,4
1284,2006,198.014,15.535,16.645,8.254,265.694,226.81032,.80000001,6.4089999,1.3162,.98400778,0,0,59.108002,2
2626,2006,175.834,0,2.928,11.855,101.665,191.72955,1.294,12.417,1.1552,.68164039,0,0,41.917999,6
3005,2006,60.29,5.707,-4.274,-4.411,19.721,109.80785,.66000003,5.2610002,1.7539001,1.87603,0,0,15.448,5
181,2005,27.748,5.327,5.809,5.665,26.909,101.68564,.108,.57499999,2.3501999,3.4840939,0,0,5.9860001,2
181,2006,29.819,5.633,3.815,2.611,23.69,37.009312,.067000002,.78200001,2.3422999,1.0330765,0,0,5.6170001,2
3005,2007,61.731,2.259,.598,.574,26.612,79.12542,.67500001,4.5040002,1.7697999,1.2806761,0,0,17.280001,5
2626,2007,189.984,.037,1.416,11.961,118.335,294.10291,1.649,16.069,1.0519,1.2570474,0,0,49.325001,6
181,2007,33.387,4.226,5.311,3.888,32.625,35.256321,.126,1.018,2.1427,.84719563,0,0,7.4629998,2
2626,2008,201.446,.237,7.031,16.181,131.241,232.92647,1.3,17.375999,1.0486,1.0591447,0,1,49.636002,6
3005,2008,73.19,0,6.607,9.778,37.492,51.229679,.76099998,7.1209998,2.4544001,.51293457,0,1,18.667999,5
2540,2008,378.167,3.61,35.081,45.155,1753.68,137.39008,19.469999,0,2.9092,-.087810203,0,1,167.258,4
3005,2009,73.41200000000001,0,-.2,3.443,28.109,69.432083,.72399998,7.217,2.2762001,.73192501,0,0,17.667,5
2540,2009,401.095,2.83,18.938,5.71,1569.656,181.224,17.125999,0,2.3499999,.00095737918,0,0,148.73199,4
181,2008,25.526,3.085,.516,-2.566,30.347,10.7019,.107,1.869,2.2032001,.20539451,0,1,7.7919998,2
2626,2009,183.151,.125,9.688000000000001,24.544,138.014,219.04211,1.2,20.096001,1.0771,1.029146,0,0,50.403,6
181,2009,26.965,1.786,3.953,1.703,34.868,18.307079,.055,1.709,1.5294,.4208819,0,0,7.1950002,2
3005,2010,94.03100000000001,0,-2.875,.207,24.575,73.326599,.66600001,6.5960002,3.5123999,.66899854,0,0,18.684,5
2626,2010,269.382,.02,24.909,26.514,157.99,395.13474,1.2,18.858,1.0599,1.0782077,0,0,48.699001,6
2540,2010,420.941,1.96,44.097,-.862,1974.198,236.14558,17.886999,0,1.9838001,.078473181,0,0,167.916,4
2540,2011,468.019,.989,54.153,-5.292,2103.295,292.38785,20.9,0,1.9965,.18389179,0,0,189.83099,4
2049,2010,1392.987,622.973,36.033,25.527,247.211,5981.2007,.80000001,49.018002,3.5462,4.7814217,0,0,136.491,6
2626,2011,363.334,.096,30.458,30.501,189.381,809.10425,.69999999,21.862,1.0418,1.9500713,0,0,55.681,6
181,2010,29.548,.325,4.11,.192,35.297,18.6796,.046999998,1.791,2.1018,.31801137,0,0,6.8519998,2
3005,2011,51.761,0,-9.4,-10.142,28.652,30.68025,.93800002,10.791,3.2160001,.61929351,0,0,20.868999,5
2626,2012,392.371,0,32.333,35.415,224.284,627.07507,.69999999,28.687,1.0607001,1.2965256,0,0,67.088997,6
181,2011,29.57,0,7.14,5.363,45.97,37.294399,.0060000001,1.454,2.0209999,.81347311,0,0,7.4359999,2
2540,2012,468.323,0,62.706,69.65900000000001,2158.873,297.7005,20.028999,0,1.919,.15953413,0,0,199.354,4
3005,2012,59.993,14.846,-2.617,-4.204,28.275,51.770321,.76200002,7.7690001,3.7281001,.99548817,0,0,16.912001,5
